,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,keras
38,172490.0,514333.0,33600.24829,3.810416,3,0.583279704,4758.919666,51197,10.04615505,1.253,94.8,1.34138891,0.91336484,467.9403125,60.233,2.067126,0,0,1e-05,1.7249,0,0,2,0.037037037,0,0.0,0.010331718,0.0481022000313
39,197289.7781,565252.0,38642.46819,3.558566,3,0.530736733,2095.609584,33851,16.69823639,1.263,76.1,8.49990372,3.651332082,224.7383326,55.121,2.984,0,0,1e-05,1.972897781,0,0,4,0.074074074,0,0.0,0.011347551,0.0366328656673
40,151188.0,581794.0,34702.01705,3.840418,3,0.515646432,4455.324115,51197,11.36382991,1.253,94.8,2.0667358,1.144484088,343.8492495,60.84,1.53395,0,0,1e-05,1.51188,0,0,0,0.0,0,0.0,0.031075131,0.062859326601
41,119289.0,317548.0,26361.05124,0.788474,3,0.944739063,769.2397001,2235,142.0796421,4.418,35.8,30.69743175,1.592316297,62.24690459,71.704,0.146,0,0,1e-05,1.19289,0,0,22,0.468085106,1,0.021276596,0.04047137,0.0378865897655
42,53589.0,154332.0,10986.75622,0.520502,3,1.943861286,3423.550255,4033,38.26729482,2.268,72.2,23.61409717,2.867232018,178.1216478,34.474,0.3717408,0,0,1e-05,0.53589,0,0,22,0.468085106,1,0.021276596,0.041595369,0.0671891570091
43,102054.0,290645.0,21948.81178,0.887861,3,1.032187032,1446.558561,23200,12.52780172,3.131,47.4,9.93944292,12.65412041,207.4919517,22.657,0.25056544,0,0,1e-05,1.02054,0,0,10,0.434782609,2,0.086956522,0.052276936,0.058400452137
44,52361.0,165109.0,10956.19448,0.483824,3,1.816981509,3345.025845,4033,40.93949913,2.586,60.2,5.52793368,2.829822687,146.5493485,39.806,0.256,0,0,1e-05,0.52361,0,0,13,0.276595745,1,0.021276596,0.057380445,0.0555691421032
45,101510.0,289167.0,21996.34827,0.876174,3,1.037462781,1408.5569,23200,12.46409483,3.195,47.4,9.93944292,12.56852395,190.7601074,22.738,0.2469712,0,0,2.41001,244640.1151,3,100,11,0.47826087,2,0.086956522,0.055348874,0.063781529665
46,52893.0,169750.0,11038.11093,0.481278,3,1.76730486,3170.563613,4033,42.09025539,2.665,58.1,20.37316843,2.779234896,135.3205585,40.637,0.257,0,0,1e-05,0.52893,0,0,10,0.212765957,1,0.021276596,0.061726344,0.0827258825302
47,98282.0,261677.0,22603.57602,0.618632,3,1.146451541,788.8652906,2235,117.0814318,5.042,28.9,23.50710149,2.135195076,26.5404512,72.127,0.146,0,0,1e-05,0.98282,0,0,28,0.595744681,2,0.042553191,0.069707514,0.0726601183414
48,246838.0,644481.0,59685.47068,1.527342,3,0.465490837,495.1051993,36125,17.8403045,5.267,16.9,33.20237664,1.366049847,27.79757068,57.404,0.06425,0,0,1e-05,2.46838,0,0,10,0.212765957,1,0.021276596,0.087279551,0.133587360382
49,100469.0,289206.0,22211.19849,0.799309,3,1.037322877,1206.460138,23200,12.46577586,3.744,51.7,18.80699941,11.9888846,81.90366465,23.147,0.229,0,0,1e-05,1.00469,0,0,4,0.173913043,2,0.086956522,0.153957353,0.17072096467
50,131622.3906,341000.0,29904.70481,0.872045421,3,0.879765396,14426.39778,28051,12.15642936,4.6588,74.5,0.31716327,1.355251866,664.312997,59.93861245,0.302,0,0,3.00001,394868.488,3,100,24,0.510638298,1,0.021276596,0.04,0.0375971794128
