,0,1,2,3,4,5,6,7,keras
74,18.97607161,0,0,0,1,33851,100.8144286,0.016719159,0.129617288709
75,119.5892157,0,0,0,1,2040,508.3269411,0.020998327,-0.246897637844
76,122.6392157,0,0,0,1,2040,482.4541727,0.021931387,-0.222183287144
77,127.9838235,0,0,0,1,2040,432.4817028,0.02422739,-0.175606876612
78,128.6809843,0,0,0,1,2235,44.22559193,0.043998065,-0.0547421611845
79,12.31939655,100,0,0,2,23200,141.9710857,0.061554953,-0.29605820775
80,12.27043103,100,0,0,2,23200,128.2303877,0.064587164,-0.271754473448
81,43.2603521,0,0,0,1,4033,126.4083574,0.072135971,0.0161254666746
82,148.8764706,0,0,0,1,2040,229.7892904,0.076142615,-0.158625334501
83,17.23714879,100,0,0,2,36125,22.93014792,0.093124994,0.0936512798071
84,2.308977199,0,0,0,1,267667,380.2587331,0.095424967,0.145561367273
85,12.37599138,0,0,0,1,23200,97.6853806,0.145103858,0.129164457321
86,9.425047235,100,0,0,2,28051,266.4509855,0.017227884,-0.426138848066
87,19.66479572,0,0,0,1,33851,75.85007101,0.018110254,0.142089933157
88,16.48400343,0,0,0,1,33851,244.8008772,0.02,0.0897909253836
89,117.1568627,0,0,0,1,2040,527.6758607,0.02,-0.263563632965
90,131.3610738,0,0,0,1,2235,49.9263871,0.043043775,-0.0612868703902
91,119.2420582,0,0,0,1,2235,29.29066293,0.044986593,-0.0375336147845
92,136.7682327,0,0,0,1,2235,53.57380017,0.051181661,-0.0516704060137
93,12.39034483,100,0,0,2,23200,153.9607223,0.058707082,-0.313072860241
94,17.08537414,0,0,0,1,33851,209.5331894,0.012762242,0.103438720107
95,147.4352941,0,0,0,1,2040,240.0792155,0.017094984,-0.159632742405
96,11.0307891,0,0,0,1,69700,123.4038052,0.022903607,0.150830745697
97,144.679902,0,0,0,1,2040,268.0231232,0.031643472,-0.164769768715
98,9.90470928,0,0,0,1,28051,519.9000942,0.033213073,-0.00304082408547
99,26.61270445,0,0,0,1,17364,159.0247148,0.083339096,0.0859963446856
100,10.4167627,0,0,0,1,51197,449.3827916,0.089267337,0.042284604162
101,10.92939039,0,0,0,1,51197,472.1080169,0.097639064,0.0317392610013
102,2.01789537,100,0,0,2,267667,189.1536132,0.131560989,-0.212022125721
103,10.66044476,0,0,0,1,69700,147.3467825,0.020052921,0.144007578492
104,11.82767103,100,0,0,3,28051,655.1386174,0.035219721,-0.0442525185645
105,126.2263982,0,0,0,1,2235,29.33445451,0.055537851,-0.0227994658053
106,20.42411073,100,0,0,2,36125,37.27708811,0.064611525,0.0954751372337
107,25.03579379,0,0,0,1,28748,216.9430813,0.014727331,0.073425874114
108,9.454418938,0,0,0,1,69700,323.434702,0.027332361,0.103054374456
109,9.663113614,0,0,0,1,28051,344.1751553,0.038096471,0.0818539559841
110,9.284175036,50,0,0,2,69700,286.0728284,0.046814119,-0.309355348349
111,10.71129168,0,0,0,1,51197,446.7523901,0.09497942,0.0430690012872
112,9.240731707,0,0,0,1,69700,312.0653256,0.010403368,0.105078756809
113,9.091162438,0,0,0,1,110879,379.4845035,0.010419753,0.099352568388
114,24.96534344,0,0,0,1,30355,118.2634512,0.052080503,0.112828403711
115,123.8250559,0,0,0,1,2235,40.33558805,0.055693061,-0.057046238333
116,26.6087883,0,0,0,1,17364,226.79875,0.120346078,0.0590962283313
117,1.147014938,0,0,0,1,581730,313.4430356,0.126524154,0.225638508797
118,1.155606553,0,0,0,1,581730,321.6619418,0.13831836,0.22080732882
119,25.04645034,0,0,0,1,30355,129.1489913,0.045443889,0.1076682657
120,21.28719723,0,0,0,1,36125,38.28383796,0.06,0.167633533478
121,27.68642018,0,0,0,1,17364,252.1159598,0.068103296,0.0460212044418
122,24.99815516,0,0,0,1,30355,69.16958692,0.091605272,0.138423487544
123,63.07534307,0,0,0,1,11295,29.95689555,0.11807845,0.0465327464044
124,26.50915688,0,0,0,1,17364,189.6948836,0.122075916,0.0782211720943
125,9.922456394,0,0,0,1,51197,475.7989113,0.01,0.0315988026559
126,10.29476327,0,0,0,1,69700,189.9287495,0.02402378,0.145514085889
127,9.203773314,0,0,0,1,69700,302.6006332,0.03254096,0.105335831642
128,25.37173448,0,0,0,1,30355,109.2908208,0.051236602,0.115508764982
129,25.12587712,0,0,0,1,30355,114.1632945,0.055442392,0.114029288292
130,9.369440459,50,0,0,2,69700,327.6879033,0.049819605,-0.28576374054
131,27.98894264,0,0,0,1,17364,252.4522764,0.07,0.0450254790485
132,26.52793135,0,0,0,1,17364,179.6171093,0.0772939,0.0824071317911
133,24.97295338,0,0,0,1,30355,73.18010257,0.084983202,0.136327087879
134,1.263472745,0,0,0,1,581730,401.8972272,0.09,0.162204369903
135,18.41384302,0,0,0,1,33851,134.2654473,0.011042359,0.11772467196
136,24.99367485,0,0,0,1,30355,146.3192356,0.048407913,0.100032493472
137,20.8264083,0,0,0,1,36125,37.69263095,0.062580681,0.168352782726
138,27.47552407,0,0,0,1,17364,247.8964248,0.068577539,0.0477506928146
